# assembly_accession	refseq_category	taxid	organism_name	infraspecific_name	assembly_level	seq_rel_date	ftp_path	strain_name	assembly_level_int	refseq_category_int
GCF_000336915.1	representative genome	1227455	Halococcus saccharolyticus DSM 5350	DSM 5350	Contig	2013/02/04	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/336/915/GCF_000336915.1_ASM33691v1	Halococcus saccharolyticus DSM 5350	1	1
GCF_000336935.1	representative genome	1227456	Halococcus salifodinae DSM 8989	DSM 8989	Contig	2013/02/04	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/336/935/GCF_000336935.1_ASM33693v1	Halococcus salifodinae DSM 8989	1	1
GCF_000755245.1	representative genome	1264579	Halococcus sediminicola	CBA1101	Contig	2014/09/11	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/755/245/GCF_000755245.1_ASM75524v1	Halococcus sediminicola CBA1101	1	1
GCF_000336715.1	representative genome	1227457	Halococcus thailandensis JCM 13552	JCM 13552	Contig	2013/02/04	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/336/715/GCF_000336715.1_ASM33671v1	Halococcus thailandensis JCM 13552	1	1
GCF_001886955.1	representative genome	1873524	Halodesulfurarchaeum formicicum	HSR6	Complete Genome	2016/11/28	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/886/955/GCF_001886955.1_ASM188695v1	Halodesulfurarchaeum formicicum HSR6	4	1
GCF_001767315.1	na	1873524	Halodesulfurarchaeum formicicum	HTSR1	Complete Genome	2016/10/18	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/767/315/GCF_001767315.1_ASM176731v1	Halodesulfurarchaeum formicicum HTSR1	4	0
GCF_002844195.1	na	1985678	Haloferacaceae archaeon SYSU A9-0	SYSU A9-0	Scaffold	2017/12/15	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/844/195/GCF_002844195.1_ASM284419v1	Haloferacaceae archaeon SYSU A9-0	2	0
GCF_000723845.1	na	114529	Haloferax alexandrinus	Arc-Hr	Scaffold	2014/06/12	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/723/845/GCF_000723845.1_PRJEB5511_assembly_1	Haloferax alexandrinus Arc-Hr	2	0
GCF_000336735.1	na	1227458	Haloferax alexandrinus JCM 10717	JCM 10717	Contig	2013/02/04	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/336/735/GCF_000336735.1_ASM33673v1	Haloferax alexandrinus JCM 10717	1	0
GCF_000337795.1	na	662478	Haloferax denitrificans ATCC 35960	ATCC 35960	Contig	2013/02/04	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/337/795/GCF_000337795.1_ASM33779v1	Haloferax denitrificans ATCC 35960	1	0
GCF_000336755.1	representative genome	1230453	Haloferax elongans ATCC BAA-1513	ATCC BAA-1513	Contig	2013/02/04	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/336/755/GCF_000336755.1_ASM33675v1	Haloferax elongans ATCC BAA-1513	1	1
GCF_001190965.1	na	35746	Haloferax gibbonsii	ARA6	Complete Genome	2015/08/03	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/190/965/GCF_001190965.1_ASM119096v1	Haloferax gibbonsii ARA6	4	0
GCF_000336775.1	na	1227459	Haloferax gibbonsii ATCC 33959	ATCC 33959	Contig	2013/02/04	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/336/775/GCF_000336775.1_ASM33677v1	Haloferax gibbonsii ATCC 33959	1	0
GCF_900109695.1	na	302484	Haloferax larsenii	CDM_5	Scaffold	2016/10/31	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/109/695/GCF_900109695.1_IMG-taxon_2639762639_annotated_assembly	Haloferax larsenii CDM_5	2	0
GCF_000336955.1	na	1227460	Haloferax larsenii JCM 13917	JCM 13917	Contig	2013/02/04	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/336/955/GCF_000336955.1_ASM33695v1	Haloferax larsenii JCM 13917	1	0
GCF_000336795.1	na	1230452	Haloferax lucentense DSM 14919	DSM 14919	Contig	2013/02/04	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/336/795/GCF_000336795.1_ASM33679v1	Haloferax lucentense DSM 14919	1	0
GCF_001368915.1	na	1476858	Haloferax massiliensis	Arc-Hr	Scaffold	2015/04/22	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/368/915/GCF_001368915.1_PRJEB5949_assembly_1	Haloferax massiliensis Arc-Hr	2	0
GCF_000685635.1	na	523841	Haloferax mediterranei ATCC 33500	ATCC 33500	Chromosome	2014/05/08	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/685/635/GCF_000685635.1_ASM68563v1	Haloferax mediterranei ATCC 33500	3	0
GCF_000306765.2	representative genome	523841	Haloferax mediterranei ATCC 33500	CGMCC 1.2087	Complete Genome	2014/05/27	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/306/765/GCF_000306765.2_ASM30676v2	Haloferax mediterranei ATCC 33500 CGMCC 1.2087	4	1
GCF_000337815.1	representative genome	662479	Haloferax mucosum ATCC BAA-1512	ATCC BAA-1512	Contig	2013/02/04	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/337/815/GCF_000337815.1_ASM33781v1	Haloferax mucosum ATCC BAA-1512	1	1
GCF_000336815.1	na	1227461	Haloferax prahovense DSM 18310	DSM 18310	Contig	2013/02/04	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/336/815/GCF_000336815.1_ASM33681v1	Haloferax prahovense DSM 18310	1	0
GCF_000730175.1	na	1508454	Haloferax sp. ATB1	ATB1	Contig	2014/07/17	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/730/175/GCF_000730175.1_ASM73017v1	Haloferax sp. ATB1	1	0
GCF_000336975.1	na	1227462	Haloferax sp. ATCC BAA-644	ATCC BAA-644	Contig	2013/02/04	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/336/975/GCF_000336975.1_ASM33697v1	Haloferax sp. ATCC BAA-644	1	0
GCF_000336835.1	na	1227463	Haloferax sp. ATCC BAA-645	ATCC BAA-645	Contig	2013/02/04	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/336/835/GCF_000336835.1_ASM33683v1	Haloferax sp. ATCC BAA-645	1	0
GCF_000336855.1	na	1227464	Haloferax sp. ATCC BAA-646	ATCC BAA-646	Contig	2013/02/04	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/336/855/GCF_000336855.1_ASM33685v1	Haloferax sp. ATCC BAA-646	1	0
GCF_000328285.1	na	1243180	Haloferax sp. BAB2207	BAB2207	Contig	2012/12/21	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/328/285/GCF_000328285.1_Haloferax_sp._BAB2207_V.1	Haloferax sp. BAB2207	1	0
GCF_001482285.1	na	1526048	Haloferax sp. Q22	Q22	Scaffold	2015/12/23	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/482/285/GCF_001482285.1_ASM148228v1	Haloferax sp. Q22	2	0
GCF_001469865.1	na	1544718	Haloferax sp. SB29	SB29	Contig	2015/12/18	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/469/865/GCF_001469865.1_ASM146986v1	Haloferax sp. SB29	1	0
GCF_001469875.2	na	1544719	Haloferax sp. SB3	SB3	Scaffold	2018/01/30	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/469/875/GCF_001469875.2_ASM146987v2	Haloferax sp. SB3	2	0
GCF_000337835.1	na	662480	Haloferax sulfurifontis ATCC BAA-897	ATCC BAA-897	Contig	2013/02/04	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/337/835/GCF_000337835.1_ASM33783v1	Haloferax sulfurifontis ATCC BAA-897	1	0
GCF_000025685.1	representative genome	309800	Haloferax volcanii DS2	DS2	Complete Genome	2010/03/23	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/025/685/GCF_000025685.1_ASM2568v1	Haloferax volcanii DS2	4	1
GCF_000337855.1	na	469382	Halogeometricum borinquense DSM 11551	DSM 11551	Contig	2013/02/04	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/337/855/GCF_000337855.1_ASM33785v1	Halogeometricum borinquense DSM 11551	1	0
GCF_000172995.2	representative genome	469382	Halogeometricum borinquense DSM 11551	PR 3	Complete Genome	2010/11/22	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/172/995/GCF_000172995.2_ASM17299v2	Halogeometricum borinquense DSM 11551 PR 3	4	1
GCF_900115785.1	representative genome	555875	Halogeometricum limi	CGMCC 1.8711	Scaffold	2016/11/02	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/115/785/GCF_900115785.1_IMG-taxon_2617270895_annotated_assembly	Halogeometricum limi CGMCC 1.8711	2	1
GCF_000337095.1	representative genome	1227487	Halogeometricum pallidum JCM 14848	JCM 14848	Contig	2013/02/04	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/337/095/GCF_000337095.1_ASM33709v1	Halogeometricum pallidum JCM 14848	1	1
GCF_900112175.1	representative genome	553469	Halogeometricum rufum	CGMCC 1.7736	Contig	2016/11/02	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/112/175/GCF_900112175.1_IMG-taxon_2617270920_annotated_assembly	Halogeometricum rufum CGMCC 1.7736	1	1
GCF_900110465.1	representative genome	660520	Halogranum amylolyticum	CGMCC 1.10121	Scaffold	2016/11/17	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/110/465/GCF_900110465.1_IMG-taxon_2617270928_annotated_assembly	Halogranum amylolyticum CGMCC 1.10121	2	1
GCF_900103715.1	representative genome	660521	Halogranum gelatinilyticum	CGMCC 1.10119	Contig	2016/10/21	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/103/715/GCF_900103715.1_IMG-taxon_2617270902_annotated_assembly	Halogranum gelatinilyticum CGMCC 1.10119	1	1
GCF_900114455.1	na	553466	Halogranum rubrum	CGMCC 1.7738	Scaffold	2016/11/02	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/114/455/GCF_900114455.1_IMG-taxon_2619618990_annotated_assembly	Halogranum rubrum CGMCC 1.7738	2	0
GCF_000283335.1	representative genome	1210908	Halogranum salarium B-1	B-1	Contig	2012/08/03	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/283/335/GCF_000283335.1_162.HSB1.1	Halogranum salarium B-1	1	1
GCF_900109065.1	representative genome	1073996	Halohasta litchfieldiae	DSM 22187	Contig	2016/10/31	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/109/065/GCF_900109065.1_IMG-taxon_2693429898_annotated_assembly	Halohasta litchfieldiae DSM 22187	1	1
GCF_001307315.1	representative genome	699431	Halolamina pelagica	CDK2	Contig	2015/10/06	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/307/315/GCF_001307315.1_Halpeg_cdk2_1	Halolamina pelagica CDK2	1	1
GCF_900115675.1	representative genome	699431	Halolamina pelagica	CGMCC 1.10329	Contig	2016/11/02	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/115/675/GCF_900115675.1_IMG-taxon_2663762745_annotated_assembly	Halolamina pelagica CGMCC 1.10329	1	1
GCF_000739555.1	representative genome	1380430	Halolamina rubra	CBA1107	Contig	2014/07/31	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/739/555/GCF_000739555.1_ASM73955v1	Halolamina rubra CBA1107	1	1
GCF_001282785.1	representative genome	1480675	Halolamina sediminis	halo7	Contig	2015/08/17	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/282/785/GCF_001282785.1_halo7	Halolamina sediminis halo7	1	1
GCF_002025255.1	na	1853690	Halolamina sp. CBA1230	CBA1230	Contig	2017/03/13	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/025/255/GCF_002025255.1_ASM202525v1	Halolamina sp. CBA1230	1	0
GCF_000379085.1	na	1069082	Halomicrobium katesii DSM 19301	DSM 19301	Scaffold	2013/04/23	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/379/085/GCF_000379085.1_ASM37908v1	Halomicrobium katesii DSM 19301	2	0
GCF_000023965.1	representative genome	485914	Halomicrobium mukohataei DSM 12286	DSM 12286	Complete Genome	2009/09/03	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/023/965/GCF_000023965.1_ASM2396v1	Halomicrobium mukohataei DSM 12286	4	1
GCF_900114435.1	representative genome	767519	Halomicrobium zhouii	CGMCC 1.10457	Scaffold	2016/11/02	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/114/435/GCF_900114435.1_IMG-taxon_2667527389_annotated_assembly	Halomicrobium zhouii CGMCC 1.10457	2	1
GCF_001462205.1	representative genome	1678448	Haloparvum sedimenti	DYS4	Scaffold	2015/12/08	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/462/205/GCF_001462205.1_HalopeDYS1.0	Haloparvum sedimenti DYS4	2	1
GCF_900113245.1	representative genome	553467	Halopelagius inordinatus	CGMCC 1.7739	Contig	2016/11/02	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/113/245/GCF_900113245.1_IMG-taxon_2617270917_annotated_assembly	Halopelagius inordinatus CGMCC 1.7739	1	1
GCF_900100875.1	representative genome	1236180	Halopelagius longus	CGMCC 1.12397	Contig	2016/10/21	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/100/875/GCF_900100875.1_IMG-taxon_2671180169_annotated_assembly	Halopelagius longus CGMCC 1.12397	1	1
GCF_900108505.1	representative genome	1267564	Halopenitus malekzadehii	IBRC-M10418	Scaffold	2016/10/27	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/108/505/GCF_900108505.1_IMG-taxon_2651870118_annotated_assembly	Halopenitus malekzadehii IBRC-M10418	2	1
GCF_002355635.1	na	1048396	Halopenitus persicus	CBA1233	Complete Genome	2016/06/23	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/355/635/GCF_002355635.1_ASM235563v1	Halopenitus persicus CBA1233	4	0
GCF_900107205.1	na	1048396	Halopenitus persicus	DC30,IBRC 10041,KCTC 4046	Scaffold	2016/10/22	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/107/205/GCF_900107205.1_IMG-taxon_2654587885_annotated_assembly	Halopenitus persicus DC30,IBRC 10041,KCTC 4046	2	0
GCF_000455365.1	representative genome	1293047	Halopiger djelfimassiliensis	IIH2	Scaffold	2013/08/20	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/455/365/GCF_000455365.1_HdjelfamassiliensisIIH2	Halopiger djelfimassiliensis IIH2	2	1
GCF_000455345.1	representative genome	1293048	Halopiger goleimassiliensis	IIH3	Scaffold	2013/08/20	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/455/345/GCF_000455345.1_Halgo	Halopiger goleimassiliensis IIH3	2	1
GCF_900110455.1	na	1202768	Halopiger salifodinae	CGMCC 1.12284	Scaffold	2016/10/31	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/110/455/GCF_900110455.1_IMG-taxon_2671180170_annotated_assembly	Halopiger salifodinae CGMCC 1.12284	2	0
GCF_000784335.1	representative genome	1202768	Halopiger salifodinae	KCY07-B2	Scaffold	2014/11/17	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/784/335/GCF_000784335.1_ASM78433v1	Halopiger salifodinae KCY07-B2	2	1
GCF_000217715.1	representative genome	797210	Halopiger xanaduensis SH-6	SH-6	Complete Genome	2011/06/09	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/217/715/GCF_000217715.1_ASM21771v1	Halopiger xanaduensis SH-6	4	1
GCF_000427685.1	representative genome	926690	Haloplanus natans DSM 17983	DSM 17983	Scaffold	2013/07/15	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/427/685/GCF_000427685.1_ASM42768v1	Haloplanus natans DSM 17983	2	1
GCF_900107665.1	representative genome	555874	Haloplanus vescus	CGMCC 1.8712	Scaffold	2016/10/22	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/107/665/GCF_900107665.1_IMG-taxon_2617270898_annotated_assembly	Haloplanus vescus CGMCC 1.8712	2	1
GCF_001469955.1	representative genome	1514971	Haloprofundus marisrubri	SB9	Contig	2015/12/18	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/469/955/GCF_001469955.1_ASM146995v1	Haloprofundus marisrubri SB9	1	1
GCF_000237865.1	representative genome	768065	Haloquadratum walsbyi C23		Complete Genome	2011/05/31	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/237/865/GCF_000237865.1_ASM23786v1	Haloquadratum walsbyi C23	4	1
GCF_000009185.1	na	362976	Haloquadratum walsbyi DSM 16790	DSM 16790 = HBSQ001	Complete Genome	2006/06/22	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/009/185/GCF_000009185.1_ASM918v1	Haloquadratum walsbyi DSM 16790 DSM 16790 = HBSQ001	4	0
GCF_000215915.2	na	1033806	Halorhabdus tiamatea SARL4B	SARL4B	Contig	2013/09/12	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/215/915/GCF_000215915.2_HLRTI_V2	Halorhabdus tiamatea SARL4B	1	0
GCF_000470655.1	representative genome	1033806	Halorhabdus tiamatea SARL4B	type strain: SARL4B	Complete Genome	2013/08/01	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/470/655/GCF_000470655.1_HATI1	Halorhabdus tiamatea SARL4B type strain: SARL4B	4	1
GCF_000023945.1	representative genome	519442	Halorhabdus utahensis DSM 12940	DSM 12940	Complete Genome	2009/08/27	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/023/945/GCF_000023945.1_ASM2394v1	Halorhabdus utahensis DSM 12940	4	1
GCF_900110215.1	representative genome	1367881	Halorientalis persicus	IBRC-M 10043	Scaffold	2016/10/31	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/110/215/GCF_900110215.1_IMG-taxon_2654588107_annotated_assembly	Halorientalis persicus IBRC-M 10043	2	1
GCF_900102305.1	representative genome	660518	Halorientalis regularis	IBRC-M 10760	Scaffold	2016/10/21	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/102/305/GCF_900102305.1_IMG-taxon_2651870125_annotated_assembly	Halorientalis regularis IBRC-M 10760	2	1
GCF_001989615.1	na	1932360	Halorientalis sp. IM1011	IM1011	Complete Genome	2017/02/07	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/989/615/GCF_001989615.1_ASM198961v1	Halorientalis sp. IM1011	4	0
GCF_001542905.1	na	1758255	Halorubrum aethiopicum	SAH-A6	Contig	2016/01/29	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/542/905/GCF_001542905.1_ASM154290v1	Halorubrum aethiopicum SAH-A6	1	0
GCF_000336995.1	representative genome	1230454	Halorubrum aidingense JCM 13560	JCM 13560	Contig	2013/02/04	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/336/995/GCF_000336995.1_ASM33699v1	Halorubrum aidingense JCM 13560	1	1
GCF_000337015.1	na	1230455	Halorubrum arcis JCM 13916	JCM 13916	Contig	2013/02/04	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/337/015/GCF_000337015.1_ASM33701v1	Halorubrum arcis JCM 13916	1	0
GCF_000336875.1	representative genome	1227465	Halorubrum californiensis DSM 19288	DSM 19288	Contig	2013/02/04	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/336/875/GCF_000336875.1_ASM33687v1	Halorubrum californiensis DSM 19288	1	1
GCF_002379115.1	na	335819	Halorubrum chaoviator	DSM 19316	Contig	2017/09/27	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/379/115/GCF_002379115.1_ASM237911v1	Halorubrum chaoviator DSM 19316	1	0
GCF_000337035.1	representative genome	1227466	Halorubrum coriense DSM 10284	DSM 10284	Contig	2013/02/04	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/337/035/GCF_000337035.1_ASM33703v1	Halorubrum coriense DSM 10284	1	1
GCF_000337335.1	na	1227468	Halorubrum distributum JCM 10118	JCM 10118	Contig	2013/02/04	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/337/335/GCF_000337335.1_ASM33733v1	Halorubrum distributum JCM 10118	1	0
GCF_000337055.1	na	1227467	Halorubrum distributum JCM 9100	JCM 9100	Contig	2013/02/04	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/337/055/GCF_000337055.1_ASM33705v1	Halorubrum distributum JCM 9100	1	0
GCF_002114285.1	na	1121945	Halorubrum ezzemoulense DSM 17463	DSM 17463	Contig	2017/04/28	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/114/285/GCF_002114285.1_ASM211428v1	Halorubrum ezzemoulense DSM 17463	1	0
GCF_002252875.1	na	337243	Halorubrum ezzemoulense	Ec15	Scaffold	2017/08/15	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/252/875/GCF_002252875.1_ASM225287v1	Halorubrum ezzemoulense Ec15	2	0
GCF_002252865.1	na	337243	Halorubrum ezzemoulense	Fb21	Contig	2017/08/15	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/252/865/GCF_002252865.1_ASM225286v1	Halorubrum ezzemoulense Fb21	1	0
GCF_002252835.1	na	337243	Halorubrum ezzemoulense	G37	Scaffold	2017/08/15	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/252/835/GCF_002252835.1_ASM225283v1	Halorubrum ezzemoulense G37	2	0
GCF_002252815.1	na	337243	Halorubrum ezzemoulense	Ga2p	Contig	2017/08/15	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/252/815/GCF_002252815.1_ASM225281v1	Halorubrum ezzemoulense Ga2p	1	0
GCF_002252805.1	na	337243	Halorubrum ezzemoulense	Ga36	Scaffold	2017/08/15	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/252/805/GCF_002252805.1_ASM225280v1	Halorubrum ezzemoulense Ga36	2	0
GCF_002252725.1	na	337243	Halorubrum ezzemoulense	LD3	Scaffold	2017/08/15	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/252/725/GCF_002252725.1_ASM225272v1	Halorubrum ezzemoulense LD3	2	0
GCF_002252735.1	na	337243	Halorubrum ezzemoulense	LG1	Scaffold	2017/08/15	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/252/735/GCF_002252735.1_ASM225273v1	Halorubrum ezzemoulense LG1	2	0
GCF_002252985.1	na	1383851	Halorubrum halodurans	Cb34	Scaffold	2017/08/15	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/252/985/GCF_002252985.1_ASM225298v1	Halorubrum halodurans Cb34	2	0
GCF_000739595.1	representative genome	413816	Halorubrum halophilum	B8	Contig	2014/07/31	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/739/595/GCF_000739595.1_ASM73959v1	Halorubrum halophilum B8	1	1
GCF_000337075.1	na	1227481	Halorubrum hochstenium ATCC 700873	ATCC 700873	Contig	2013/02/04	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/337/075/GCF_000337075.1_ASM33707v1	Halorubrum hochstenium ATCC 700873	1	0
GCF_000337355.1	representative genome	1230456	Halorubrum kocurii JCM 14978	JCM 14978	Contig	2013/02/04	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/337/355/GCF_000337355.1_ASM33735v1	Halorubrum kocurii JCM 14978	1	1
GCF_000022205.1	representative genome	416348	Halorubrum lacusprofundi ATCC 49239	ATCC 49239	Complete Genome	2009/02/04	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/022/205/GCF_000022205.1_ASM2220v1	Halorubrum lacusprofundi ATCC 49239	4	1
GCF_002215305.1	na	2247	Halorubrum lacusprofundi	DL18	Contig	2017/07/06	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/215/305/GCF_002215305.1_ASM221530v1	Halorubrum lacusprofundi DL18	1	0
GCF_002215285.1	na	2247	Halorubrum lacusprofundi	HLS1	Scaffold	2017/07/06	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/215/285/GCF_002215285.1_ASM221528v1	Halorubrum lacusprofundi HLS1	2	0
GCF_000337375.1	representative genome	1227482	Halorubrum lipolyticum DSM 21995	DSM 21995	Contig	2013/02/04	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/337/375/GCF_000337375.1_ASM33737v1	Halorubrum lipolyticum DSM 21995	1	1
GCF_000337395.1	na	1227483	Halorubrum litoreum JCM 13561	JCM 13561	Contig	2013/02/04	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/337/395/GCF_000337395.1_ASM33739v1	Halorubrum litoreum JCM 13561	1	0
GCF_002727125.1	na	1383844	Halorubrum persicum	C49	Scaffold	2017/10/26	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/727/125/GCF_002727125.1_ASM272712v1	Halorubrum persicum C49	2	0
GCF_000337915.1	na	1227484	Halorubrum saccharovorum DSM 1137	DSM 1137	Contig	2013/02/04	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/337/915/GCF_000337915.1_ASM33791v1	Halorubrum saccharovorum DSM 1137	1	0
GCF_000700025.1	na	2248	Halorubrum saccharovorum	H3	Contig	2015/04/21	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/700/025/GCF_000700025.1_ASM70002v2	Halorubrum saccharovorum H3	1	0
GCF_900111935.1	representative genome	35743	Halorubrum sodomense	RD 26	Scaffold	2016/11/02	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/111/935/GCF_900111935.1_IMG-taxon_2617270732_annotated_assembly	Halorubrum sodomense RD 26	2	1
GCF_000513435.1	na	1173487	Halorubrum sp. AJ67	AJ67	Scaffold	2013/12/24	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/513/435/GCF_000513435.1_HRSP_AJ67	Halorubrum sp. AJ67	2	0
GCF_000746205.1	na	1498500	Halorubrum sp. BV1	BV1	Scaffold	2014/08/28	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/746/205/GCF_000746205.1_ASM74620v1	Halorubrum sp. BV1	2	0
GCF_002727095.1	na	1383842	Halorubrum sp. C191	C191	Scaffold	2017/10/26	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/727/095/GCF_002727095.1_ASM272709v1	Halorubrum sp. C191	2	0
GCF_002252965.1	na	1480718	Halorubrum sp. Ea1	Ea1	Scaffold	2017/08/15	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/252/965/GCF_002252965.1_ASM225296v1	Halorubrum sp. Ea1	2	0
GCF_002252925.1	na	1383841	Halorubrum sp. Ea8	Ea8	Scaffold	2017/08/15	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/252/925/GCF_002252925.1_ASM225292v1	Halorubrum sp. Ea8	2	0
